Sl. No,Course Name,State,Name and Address of Medical College/Medical Institution,University Name,Management of College,Year of Inspection of College,Annual Intake (Seats),Status of MCI Recognition,Date of LOP
79,MBBS,Chattisgarh,"Government Medical College, Kanker","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Govt.,2021,125,"Permitted Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, 25 seats under EWS quota was permitted for 2021-22 vide latter date 28/01/2020. Permitted for Renewal of 125 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",N/A
80,MBBS,Chattisgarh,"Government Medical College, Korba","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Govt.,,125,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23, Permitted for increase of seats from 100 to 125 under EWS quota under (103rd constitution amendment) for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",09-09-2022
81,MBBS,Chattisgarh,"Government Medical College, Mahasamund","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Govt.,2022,125,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23, Permitted for increase of seats from 100 to 125 under EWS quota under (103rd constitution amendment) for 2022-23. Permitted (1st renewal) and 2ndrd batch for the Academic Year 2023 - 2024.",18-08-2022
82,MBBS,Chattisgarh,"Late Shri Baliram Kashyap Memorial NDMC Govt. Medical College, Jagdalpur","Pt.Ravishankar Shukla University (Prev. Ravishankar University),Raipur",Govt.,2006,125,Recognized for 50 seats when degree granted on or after March 2011. Recognized for increase of seats from 50 to 100 for batches admitted from 2013-14 onwards and continued till 2021-22. Permitted for increase of seats from 100 to 125 under EWS quota (103rd constitution amendment) for 2019-20. Renewal of permission for admitting 125 students granted for 2021-22. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
83,MBBS,Chattisgarh,"Late Shri Lakhi Ram Agrawal Memorial Govt. Medical College, Raigarh","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Govt.,2013,100,"Recognized  for 50 seats in respect of the students admitted in the academic years 2013-14, 2014-15 and 2015-16 only . Permitted for increase of seats from 50 to 60 under EWS quota (103rd constitution amendment) for 2019-20. Forty (40) MBBS seats have been increased u/s 26(1) (a) (b), 28(1) (2) and 61(2) of NMC Act 2019 during A/Y 2023-2024. ( 50 + 40 increased + 10 EWS). COR granted for one(01) year for 2022-23 only.",11-07-2013
84,MBBS,Chattisgarh,"Pt. J N M Medical College, Raipur","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Govt.,1963,230,"Recognized for 150 seats. Permitted for increase of seats from 150 to 180 under EWS quota (103rd constitution amendment) for 2019-20. Renewal of continuations of recognition granted to 150 seats when degree granted on or after 2016-17, for academic year 2021-22. Fifty (50) MBBS seats have been increased u/s 26(1) (a) (b) and 28 (1) (2) and Section 61 (2) of NMC Act, 2019 during Academic Year 2023 - 2024. COR granted for one(01) year for 2022-23 only.",N/A
85,MBBS,Chattisgarh,"Raipur Institute of Medical Sciences (RIMS), Raipur","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Society,2016,150,Other granted renewal of permission u/s 10(A) for 2020-21. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22. Permitted for renewal of 150 seats for the academic year 2022-23.,20-08-2016
86,MBBS,Chattisgarh,"Rajmata Shrimati Devendra kumari Singhdeo Government Medical College, Surguja ( C.G.)","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Govt.,2016,125,Recognized Renewal of permission not granted to admit students in 2017-18 and in 2019-'20. Renewal of permission granted to admit 100 students each in 2018-'19 and in 2020-21 (u/s 10(A) for 2020-21). Recognized to grant degree to 100 seats for 2016-17 batch when awarded in 2021-'22. Permitted to admit 100 students in 2021-'22. Permitted for increase of seats from 100 to 125 under EWS quote under (103rd constitution amendment) for 2021-22. Permitted for renewal of 100 seats for the academic year 2022-23. . Recognized granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,15-06-2016
87,MBBS,Chattisgarh,Shri Balaji Institute of Medical Science,Pandit Deendayal Upadhyay Memorial Health Science & Ayush University of Chattisgarh,Society,2021,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",13-10-2021
88,MBBS,Chattisgarh,"Shri Shankaracharya Institute of Medical Sciences, Bhilai","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Society,2016,150,Other granted renewal of permission u/s 10(A) for 2020-21. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22. Permitted for renewal of 150 seats for the academic year 2022-23. Permitted for renewal of 150 seats for the academic year 2022-23. Recognized for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,20-08-2016
89,MBBS,Dadra and Nagar Haveli,"NAMO Medical Education and Research Institute, Silvassa",Veer Narmad South Gujarat University,Govt.,2019,177,"Permitted Permitted for renewal of permission u/s 10(A) 2020-21, 27 seats under EWS quota was permitted for 2021-22 vide latter date 29/10/2020. Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted (4th renewal) and 5th batch for the Academic Year 2023 - 2024.",24-05-2019
90,MBBS,Delhi,"All India Institute of Medical Sciences, New Delhi","Statutory Autonomous, AIIMS(New Delhi)",Govt.,1956,132,"Recognized vide letter dated 18.09.2017 from MOH&FW,GOI.",N/A
91,MBBS,Delhi,"Army College of Medical Sciences, New Delhi",Guru Gobind Singh Indraprastha University,Trust,2008,100,Recognized  when degree granted on or after December 2012,N/A
92,MBBS,Delhi,"Atal Bihari Vajpayee Institute of Medical Sciences and Dr. RML Hospital, New Delhi",Guru Gobind Singh Indraprastha University,Govt.,2008,100,Permitted  u/s 10(A) for 2019-20.,28-06-2019
93,MBBS,Delhi,"Dr. Baba Saheb Ambedkar Medical College, Rohini, Delhi",Guru Gobind Singh Indraprastha University,Govt.,2016,125,Recognized for 100 seats for renewal of permission u/s 10(A) for 2020-21. Permitted for increase of seats from 100 to 125 under EWS quota (103rd constitution amendment) for 2019-20. RecognizedÂ for 100 seats only with respect to students admitted in 2016-17 for academic year 2021-22.,07-06-2016
94,MBBS,Delhi,"Hamdard Institute of Medical Sciences & Research, New Delhi",University of Jamia Hamdard (Hamdard University),Society,2012,150,"Recognized when degree granted on or after December 2016, Permitted for increase of seats 100 to 150 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted of renewal of 100 to 150 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024. Continuation of Recognition granted for one (01) year for 2022-23 only.",29-06-2012
95,MBBS,Delhi,"Lady Hardinge Medical College, New Delhi",Delhi University,Govt.,1916,240,Recognized for 130 seats. Seats increased from 130 to 150 w.e.f. 2008-2009 vide MOHFW letter dated 19.06.2008. Seats increased from 150 to 200 w.e.f. 2011-2012 vide MOHFW letter dated 17.03.2011. Permitted for increase of seats from 200 to 240 under EWS quota (103rd constitution amendment) for 2019-20.,N/A
96,MBBS,Delhi,"Maulana Azad Medical College, New Delhi",Delhi University,Govt.,1958,250,"Recognized for 250 MBBS seats annually upto July, 2027.",N/A
97,MBBS,Delhi,"North Delhi Muncipal Corporation Medical College, Delhi",Guru Gobind Singh Indraprastha University,Govt.,2013,60,"Recognized for 50 seats when degree granted on or after December,2017. Permitted for increase of seats from 50 to 60 under EWS quota (103rd constitution amendment) for 2019-20.",11-07-2013
98,MBBS,Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",Delhi University,Govt.,1971,170,Recognized for 150 seats. Permitted for increase of seats from 150 to 170 under EWS quota (103rd constitution amendment) for 2019-20.,N/A
99,MBBS,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",Guru Gobind Singh Indraprastha University,Govt.,2002,170,Recognized for 150 seats. Permitted for increase of seats from 150 to 170 under EWS quota (103rd constitution amendment) for 2019-20.,N/A
100,MBBS,Goa,"Goa Medical College, Panaji",Goa University,Govt.,1963,180,"Recognized for 100 seats. Recognized for increase of seats from 100 to 150 when degree granted on or after January, 2017. Permitted for increase of seats from 150 to 180 under EWS quota (103rd constitution amendment) for 2019-20. Continuation of Recognition of 150 MBBS seats granted for five (05) years when degree granted upto February, 2028.",N/A
101,MBBS,Gujarat,"All India Institute of Medical Sciences, Rajkot","Statutory Autonomous, AIIMS (Rajkot)",Govt.,,50,Other ,N/A
102,MBBS,Gujarat,Ananya College of Medicine & Research,Gujarat University,Trust,2023,150,Permitted for 150 MBBS seats u/s 26(1)(a)(b) & 28(1)(2) of NMC Act 2019 for the AY 2023-24.,02-03-2023
103,MBBS,Gujarat,"Banas Medical College and Research Institute, Palanpur, Gujarat","Hemchandracharya North Gujarat University,Patan",Trust,2018,200,Permitted for 150 seats for renewal of permission u/s 10(A) for 2020-21. Permitted for increase of seats from 150 to 200 under EWS quota (103rd constitution amendment) for 2019-20. Permitted for Renewal of 150 seats for the academic year 2022-23. Recognized for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,31-05-2018
104,MBBS,Gujarat,"B J Medical College, Ahmedabad",Gujarat University,Govt.,1946,250,Recognized continued for award of 250 seats annually till 2021-22. Permission for admitting 250 students granted for 2021-22. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
105,MBBS,Gujarat,"CU Shah Medical College, Surendra Nagar",Saurashtra University,Trust,2000,100,Other renewal of continuation of recognition granted for annual intake of 100 seats upto batches admitted till academic year 2016-17 only for academic year 2021-2022. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
106,MBBS,Gujarat,Dr.Kiran C.Patel Medical College and Research Institute,Veer Narmad South Gujarat University,Trust,2020,200,"Permitted u/s 10(A) for 2020-21, Permitted for Renewal of 150 seats for the academic year 2022-23,Permitted for increase of seats from 150 to 200 under EWS quota under (103rd constitution amendment) for 2022-23. Permitted (3rd renewal) and 4th batch for the Academic Year 2023 - 2024.",15-10-2020
107,MBBS,Gujarat,"Dr. M.K. Shah Medical College & Research Centre, Ahmedabad",Gujarat University,Trust,2017,250,"Permitted for admission of 150 students. Renewal of permission to grant admission to 150 students u/s 10(A) granted till academic year 2021-'22. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24. Hundred (100) MBBS seats have been increased i.e. 150 to 250 u/s 26 (1) (a( (b), 28 )1) (2) and 61 (2) of NMC Act, 2029 during Academic Year 2023 - 2024.",29-05-2017
108,MBBS,Gujarat,"Dr. N.D. Desai Faculty of Medical Science and Research, Nadiad","Dharmsinh Desai University, Nadiad",Private,2019,150,Permitted Permitted for renewal of permission u/s 1 4.0(A) 2020-21. Permitted for renewal of 150 seats for the academic year 2022-23. Permitted for (4th renewal) 5th batch for the Academic Year 2023 -2024.,26-03-2019
109,MBBS,Gujarat,"GCS Medical College, Ahmedabad",Gujarat University,Trust,2011,150,"Recognized  when degree granted on or after January,2016. Continuation of Recognition of MBBS 150 seats granted for five (05) years when degree awarded upto January, 2028.",30-06-2011
110,MBBS,Gujarat,"GMERS Medical College, Dharpur Patan","Hemchandracharya North Gujarat University,Patan",Govt-Society,2012,200,"Recognized for 150 seats when degree granted on or after January, 2017. Permitted for increase of seats from 150 to 200 under EWS quota (103rd constitution amendment) for 2019-20. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.",28-06-2012
111,MBBS,Gujarat,"GMERS Medical College, Gandhinagar",Gujarat University,Govt-Society,2012,200,"Recognized for 150 seats when degree granted on or after January, 2017. Permitted for increase of seats from 150 to 200 under EWS quota (103rd constitution amendment) for 2019-20. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.",21-06-2012
112,MBBS,Gujarat,"GMERS Medical College, Gotri, Vadodara",MS University of Baroda,Govt-Society,2011,200,"Recognized for 150 seats when degree granted on or after February,2016. Permitted for increase of seats from 150 to 200 under EWS quota (103rd constitution amendment) for 2019-20. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24. COR granted for one(01) year for 2022-23 only.",30-06-2011
113,MBBS,Gujarat,"GMERS Medical College, Hadiyol, Himmatnagar","Hemchandracharya North Gujarat University,Patan",Govt-Society,2015,200,"Recognized  for 150 seats when degree granted on or after January,2020. Permitted for increase of seats from 150 to 200 under EWS quota (103rd constitution amendment) for 2019-20.",11-06-2015
114,MBBS,Gujarat,"GMERS Medical College, Junagadh",Saurashtra University,Govt-Society,2015,200,Permitted for 150 seats. Recognized for 150 seats when degree awarded on or after 2019-2020 (Under BHAKTA KAVI NARSINH MEHTA UNIVERSITY till 2019-2020). Permitted for increase of seats from 150 to 200 under EWS quota (103rd constitution amendment) for 2019-20 and continued till 2021-2022.,11-06-2015
115,MBBS,Gujarat,"GMERS Medical College, Navsari",Veer Narmad South Gujarat University,Govt.,2022,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",18-08-2022
